experiment,prompt_tokens,observed_answer_position,answer_text,generated_text,generated_answer_text,token_exact_match,normalized_text_exact_match,exact_match,sequence_logprob,mean_token_logprob,first_token_entropy,mean_relevant_attention,mean_sink_over_relevant,example_id,filler_type,position_ratio,total_tokens,mean_layer_cosine,late_layer_cosine
bloat_sweep,1024,0.5,AMBER-HARBOR-10017,The security answer provided in the document is AMBER-HARB,The security answer provided in the document is AMBER-HARB,False,False,False,-11.203125,-1.0185546875,1.3056640625,0.03574414407060963,381093.3687550613,example_0000,natural,0.5,1024,,
bloat_sweep,1024,0.5,COBALT-MEADOW-10018,COBALT-MEADOW-10018,COBALT-MEADOW-10018,False,True,True,-9.3359375,-0.77783203125,1.45703125,0.03990375139689068,367108.3721020574,example_0001,natural,0.5,1024,,
bloat_sweep,1024,0.5,IVORY-LANTERN-10019,"The security answer provided in the text is ""IVORY-L","The security answer provided in the text is ""IVORY-L",False,False,False,-8.8125,-0.80126953125,1.744140625,0.05879341821680433,364800.7584409101,example_0002,natural,0.5,1024,,
bloat_sweep,1024,0.5,SCARLET-BREEZE-10020,The security answer provided in the text is SCARLET-B,The security answer provided in the text is SCARLET-B,False,False,False,-9.5703125,-0.79736328125,1.47265625,,,example_0003,natural,0.5,1024,,
bloat_sweep,1024,0.5,SABLE-HARBOR-10021,SABLE-HARBOR-10021,SABLE-HARBOR-10021,False,True,True,-15.109375,-1.3740234375,1.00390625,,,example_0004,natural,0.5,1024,,
bloat_sweep,1024,0.5,SILVER-MEADOW-10022,The security answer provided in the document is SILVER-ME,The security answer provided in the document is SILVER-ME,False,False,False,-15.03125,-1.2529296875,1.064453125,,,example_0005,natural,0.5,1024,,
bloat_sweep,1024,0.5,GOLDEN-LANTERN-10023,"The security answer provided in the document is ""GOLDEN","The security answer provided in the document is ""GOLDEN",False,False,False,-15.6015625,-1.2998046875,0.84619140625,,,example_0006,natural,0.5,1024,,
bloat_sweep,1024,0.5,TEAL-BREEZE-10024,"The security answer provided in the document is ""TEAL-B","The security answer provided in the document is ""TEAL-B",False,False,False,-7.82421875,-0.7109375,1.6259765625,,,example_0007,natural,0.5,1024,,
bloat_sweep,2048,0.5,AMBER-HARBOR-10017,AMBER-HARBOR-10017,AMBER-HARBOR-10017,False,True,True,-10.296875,-0.93603515625,1.5869140625,0.04229551136831759,439924.97900194605,example_0000,natural,0.5,2048,0.983426570892334,0.9688032269477844
bloat_sweep,2048,0.5,COBALT-MEADOW-10018,"The security answer provided in the given text is ""COB","The security answer provided in the given text is ""COB",False,False,False,-10.609375,-0.88427734375,1.3369140625,0.03492734901444655,417394.66673217935,example_0001,natural,0.5,2048,0.9864173531532288,0.9839975833892822
bloat_sweep,2048,0.5,IVORY-LANTERN-10019,"The security answer provided in the text is ""IVORY-L","The security answer provided in the text is ""IVORY-L",False,False,False,-10.6484375,-0.9677734375,0.90673828125,0.0422097440683317,446915.4592341215,example_0002,natural,0.5,2048,0.9841340184211731,0.9795940518379211
bloat_sweep,2048,0.5,SCARLET-BREEZE-10020,SCARLET-BREEZE-10020,SCARLET-BREEZE-10020,False,True,True,-10.1953125,-0.849609375,1.501953125,,,example_0003,natural,0.5,2048,0.9825274348258972,0.9679455161094666
bloat_sweep,2048,0.5,SABLE-HARBOR-10021,SABLE-HARBOR-10021,SABLE-HARBOR-10021,False,True,True,-14.8359375,-1.3486328125,1.1513671875,,,example_0004,natural,0.5,2048,0.9901242256164551,0.9883332252502441
