experiment,prompt_tokens,observed_answer_position,answer_text,generated_text,generated_answer_text,token_exact_match,normalized_text_exact_match,exact_match,sequence_logprob,mean_token_logprob,first_token_entropy,mean_relevant_attention,mean_sink_over_relevant,example_id,filler_type,position_ratio,total_tokens,mean_layer_cosine,late_layer_cosine
position_sweep,2048,0.10009765625,AMBER-HARBOR-10017,AMBER-HARBOR-10017,AMBER-HARBOR-10017,False,True,True,-9.734375,-0.88525390625,1.3525390625,0.04355560020387742,508540.07773705485,example_0000,natural,0.1,2048,,
position_sweep,2048,0.10009765625,COBALT-MEADOW-10018,COBALT-MEADOW-10018,COBALT-MEADOW-10018,False,True,True,-9.8671875,-0.822265625,1.6025390625,0.03061222780916519,349680.22795587545,example_0001,natural,0.1,2048,,
position_sweep,2048,0.10009765625,IVORY-LANTERN-10019,IVORY-LANTERN-10019,IVORY-LANTERN-10019,False,True,True,-7.7265625,-0.70263671875,1.7392578125,0.05739373076528498,329851.163784542,example_0002,natural,0.1,2048,,
position_sweep,2048,0.10009765625,SCARLET-BREEZE-10020,SCARLET-BREEZE-10020,SCARLET-BREEZE-10020,False,True,True,-9.9765625,-0.83154296875,1.2412109375,,,example_0003,natural,0.1,2048,,
position_sweep,2048,0.10009765625,SABLE-HARBOR-10021,SABLE-HARBOR-10021,SABLE-HARBOR-10021,False,True,True,-13.328125,-1.2119140625,1.373046875,,,example_0004,natural,0.1,2048,,
position_sweep,2048,0.10009765625,SILVER-MEADOW-10022,The security answer is SILVER-MEADOW-10,The security answer is SILVER-MEADOW-10,False,False,False,-14.2265625,-1.185546875,1.5380859375,,,example_0005,natural,0.1,2048,,
position_sweep,2048,0.10009765625,GOLDEN-LANTERN-10023,"The security answer provided in the given text is ""GOLD","The security answer provided in the given text is ""GOLD",False,False,False,-14.546875,-1.2119140625,1.6376953125,,,example_0006,natural,0.1,2048,,
position_sweep,2048,0.10009765625,TEAL-BREEZE-10024,TEAL-BREEZE-10024,TEAL-BREEZE-10024,False,True,True,-7.515625,-0.68310546875,1.33984375,,,example_0007,natural,0.1,2048,,
position_sweep,4096,0.10009765625,AMBER-HARBOR-10017,"The security answer provided in the given text is ""AMBER","The security answer provided in the given text is ""AMBER",False,False,False,-10.7578125,-0.97802734375,1.505859375,0.020114007392203523,1514757.0695794714,example_0000,natural,0.1,4096,0.9748654961585999,0.9482121467590332
position_sweep,4096,0.10009765625,COBALT-MEADOW-10018,"The security answer provided in the given text is ""COB","The security answer provided in the given text is ""COB",False,False,False,-11.328125,-0.94384765625,1.0390625,0.01931857351854676,1677842.678877672,example_0001,natural,0.1,4096,0.9836463332176208,0.9759147763252258
position_sweep,4096,0.10009765625,IVORY-LANTERN-10019,"The security answer provided in the given text is ""IVORY","The security answer provided in the given text is ""IVORY",False,False,False,-10.03125,-0.912109375,1.1337890625,0.031078549500855274,1575155.8674805171,example_0002,natural,0.1,4096,0.9661340117454529,0.9269073605537415
position_sweep,4096,0.10009765625,SCARLET-BREEZE-10020,"The security answer provided in the given text is ""SCAR","The security answer provided in the given text is ""SCAR",False,False,False,-10.1796875,-0.8486328125,1.365234375,,,example_0003,natural,0.1,4096,0.9776630401611328,0.9603347778320312
position_sweep,4096,0.10009765625,SABLE-HARBOR-10021,SABLE-HARBOR-10021,SABLE-HARBOR-10021,False,True,True,-15.2734375,-1.388671875,0.861328125,,,example_0004,natural,0.1,4096,0.9784213900566101,0.9510007500648499
position_sweep,4096,0.10009765625,SILVER-MEADOW-10022,"The security answer provided in the given text is ""SIL","The security answer provided in the given text is ""SIL",False,False,False,-15.4375,-1.287109375,1.6171875,,,example_0005,natural,0.1,4096,0.9821231961250305,0.9698514342308044
position_sweep,4096,0.10009765625,GOLDEN-LANTERN-10023,"The security answer provided in the given text is ""GOLD","The security answer provided in the given text is ""GOLD",False,False,False,-14.9921875,-1.2490234375,1.2705078125,,,example_0006,natural,0.1,4096,0.9720198512077332,0.9472972750663757
position_sweep,4096,0.10009765625,TEAL-BREEZE-10024,"The security answer provided in the given text is ""TEAL","The security answer provided in the given text is ""TEAL",False,False,False,-8.3125,-0.755859375,1.34765625,,,example_0007,natural,0.1,4096,0.9833524227142334,0.9726972579956055
position_sweep,2048,0.2998046875,AMBER-HARBOR-10017,The security answer provided in the given text is AMBER-H,The security answer provided in the given text is AMBER-H,False,False,False,-10.265625,-0.93310546875,1.6513671875,0.04299901721672096,329099.8702354127,example_0000,natural,0.3,2048,,
position_sweep,2048,0.2998046875,COBALT-MEADOW-10018,"The security answer provided in the given text is ""COB","The security answer provided in the given text is ""COB",False,False,False,-10.4140625,-0.86767578125,1.26953125,0.03434360416746654,338960.1024932767,example_0001,natural,0.3,2048,,
position_sweep,2048,0.2998046875,IVORY-LANTERN-10019,"The security answer provided in the given text is ""IVORY","The security answer provided in the given text is ""IVORY",False,False,False,-8.484375,-0.771484375,1.501953125,0.050950841124656886,313920.9327785278,example_0002,natural,0.3,2048,,
position_sweep,2048,0.2998046875,SCARLET-BREEZE-10020,"The security answer provided in the text is ""SCARLET","The security answer provided in the text is ""SCARLET",False,False,False,-10.1796875,-0.84814453125,1.400390625,,,example_0003,natural,0.3,2048,,
position_sweep,2048,0.2998046875,SABLE-HARBOR-10021,The security answer provided in the given text is SABLE-H,The security answer provided in the given text is SABLE-H,False,False,False,-14.6015625,-1.328125,1.162109375,,,example_0004,natural,0.3,2048,,
position_sweep,2048,0.2998046875,SILVER-MEADOW-10022,"The security answer provided in the given text is ""SIL","The security answer provided in the given text is ""SIL",False,False,False,-15.421875,-1.28515625,1.4873046875,,,example_0005,natural,0.3,2048,,
position_sweep,2048,0.2998046875,GOLDEN-LANTERN-10023,"The security answer provided in the text is ""GOLDEN","The security answer provided in the text is ""GOLDEN",False,False,False,-16.390625,-1.365234375,0.6328125,,,example_0006,natural,0.3,2048,,
position_sweep,2048,0.2998046875,TEAL-BREEZE-10024,TEAL-BREEZE-10024,TEAL-BREEZE-10024,False,True,True,-8.078125,-0.734375,1.2587890625,,,example_0007,natural,0.3,2048,,
position_sweep,4096,0.300048828125,AMBER-HARBOR-10017,AMBER-HARBOR-10017,AMBER-HARBOR-10017,False,True,True,-10.03125,-0.91162109375,1.599609375,0.043160016350459914,634936.2979350857,example_0000,natural,0.3,4096,0.988369882106781,0.988481342792511
position_sweep,4096,0.300048828125,COBALT-MEADOW-10018,"The security answer provided in the given text is ""COB","The security answer provided in the given text is ""COB",False,False,False,-11.8359375,-0.986328125,1.0537109375,0.03013609420063467,900512.8726580414,example_0001,natural,0.3,4096,0.9850594401359558,0.9816997647285461
position_sweep,4096,0.300048828125,IVORY-LANTERN-10019,"The security answer provided in the given text is ""IVORY","The security answer provided in the given text is ""IVORY",False,False,False,-8.3203125,-0.7568359375,1.5869140625,0.04616554444043809,796301.290951146,example_0002,natural,0.3,4096,0.987797200679779,0.981640636920929
position_sweep,4096,0.300048828125,SCARLET-BREEZE-10020,"The security answer provided in the given text is ""SCAR","The security answer provided in the given text is ""SCAR",False,False,False,-10.46875,-0.87255859375,1.3310546875,,,example_0003,natural,0.3,4096,0.9884675145149231,0.9886812567710876
position_sweep,4096,0.300048828125,SABLE-HARBOR-10021,SABLE-HARBOR-10021,SABLE-HARBOR-10021,False,True,True,-15.1640625,-1.37890625,1.1298828125,,,example_0004,natural,0.3,4096,0.9843351244926453,0.9769463539123535
position_sweep,4096,0.300048828125,SILVER-MEADOW-10022,"The security answer provided in the given text is ""SIL","The security answer provided in the given text is ""SIL",False,False,False,-15.4140625,-1.2841796875,1.3349609375,,,example_0005,natural,0.3,4096,0.9887331128120422,0.9879657626152039
position_sweep,4096,0.300048828125,GOLDEN-LANTERN-10023,"The security answer is ""GOLDEN-LANTERN-","The security answer is ""GOLDEN-LANTERN-",False,False,False,-14.8046875,-1.2333984375,1.50390625,,,example_0006,natural,0.3,4096,0.9820521473884583,0.970920979976654
position_sweep,4096,0.300048828125,TEAL-BREEZE-10024,"The security answer provided in the given text is ""TEAL","The security answer provided in the given text is ""TEAL",False,False,False,-8.1171875,-0.73779296875,1.244140625,,,example_0007,natural,0.3,4096,0.9866169095039368,0.9854453206062317
position_sweep,2048,0.5,AMBER-HARBOR-10017,AMBER-HARBOR-10017,AMBER-HARBOR-10017,False,True,True,-10.296875,-0.93603515625,1.5869140625,0.04229551136831759,439924.97900194605,example_0000,natural,0.5,2048,,
position_sweep,2048,0.5,COBALT-MEADOW-10018,"The security answer provided in the given text is ""COB","The security answer provided in the given text is ""COB",False,False,False,-10.1953125,-0.849609375,1.365234375,0.030075075408345215,435636.9897395643,example_0001,natural,0.5,2048,,
position_sweep,2048,0.5,IVORY-LANTERN-10019,"The security answer provided in the given text is ""IVORY","The security answer provided in the given text is ""IVORY",False,False,False,-9.7421875,-0.88525390625,1.193359375,0.04474092120206054,445804.44409323065,example_0002,natural,0.5,2048,,
position_sweep,2048,0.5,SCARLET-BREEZE-10020,The security answer provided in the document is SCARLET-B,The security answer provided in the document is SCARLET-B,False,False,False,-10.515625,-0.87646484375,1.34375,,,example_0003,natural,0.5,2048,,
position_sweep,2048,0.5,SABLE-HARBOR-10021,The security answer provided in the text is SABLE-HARB,The security answer provided in the text is SABLE-HARB,False,False,False,-14.765625,-1.341796875,1.1533203125,,,example_0004,natural,0.5,2048,,
position_sweep,2048,0.5,SILVER-MEADOW-10022,SILVER-MEADOW-10022,SILVER-MEADOW-10022,False,True,True,-15.796875,-1.31640625,1.4912109375,,,example_0005,natural,0.5,2048,,
position_sweep,2048,0.5,GOLDEN-LANTERN-10023,"The security answer provided in the given text is ""GOLD","The security answer provided in the given text is ""GOLD",False,False,False,-15.3828125,-1.2822265625,1.6708984375,,,example_0006,natural,0.5,2048,,
position_sweep,2048,0.5,TEAL-BREEZE-10024,TEAL-BREEZE-10024,TEAL-BREEZE-10024,False,True,True,-8.15625,-0.74169921875,1.31640625,,,example_0007,natural,0.5,2048,,
position_sweep,4096,0.5,AMBER-HARBOR-10017,AMBER-HARBOR-10017,AMBER-HARBOR-10017,False,True,True,-10.0625,-0.91455078125,0.7802734375,0.052944826265652944,946505.1260707581,example_0000,natural,0.5,4096,0.9863459467887878,0.9832881093025208
position_sweep,4096,0.5,COBALT-MEADOW-10018,"The security answer provided in the given text is ""COB","The security answer provided in the given text is ""COB",False,False,False,-10.109375,-0.84228515625,1.326171875,0.04243651213511172,1091109.920978374,example_0001,natural,0.5,4096,0.988841712474823,0.9819120764732361
position_sweep,4096,0.5,IVORY-LANTERN-10019,IVORY-LANTERN-10019,IVORY-LANTERN-10019,False,True,True,-7.44140625,-0.6767578125,2.12109375,0.06207363526731563,904114.1012154492,example_0002,natural,0.5,4096,0.9793702960014343,0.964850127696991
position_sweep,4096,0.5,SCARLET-BREEZE-10020,SCARLET-BREEZE-10020,SCARLET-BREEZE-10020,False,True,True,-10.59375,-0.8828125,1.060546875,,,example_0003,natural,0.5,4096,0.9698853492736816,0.9462466239929199
position_sweep,4096,0.5,SABLE-HARBOR-10021,SABLE-HARBOR-10021,SABLE-HARBOR-10021,False,True,True,-14.1640625,-1.287109375,0.994140625,,,example_0004,natural,0.5,4096,0.9846391677856445,0.9745820164680481
position_sweep,4096,0.5,SILVER-MEADOW-10022,SILVER-MEADOW-10022,SILVER-MEADOW-10022,False,True,True,-14.6328125,-1.2197265625,1.5830078125,,,example_0005,natural,0.5,4096,0.991659939289093,0.9913678765296936
position_sweep,4096,0.5,GOLDEN-LANTERN-10023,"The security answer provided in the given text is ""GOLD","The security answer provided in the given text is ""GOLD",False,False,False,-13.8671875,-1.1552734375,1.7275390625,,,example_0006,natural,0.5,4096,0.990021288394928,0.9894058108329773
position_sweep,4096,0.5,TEAL-BREEZE-10024,TEAL-BREEZE-10024,TEAL-BREEZE-10024,False,True,True,-7.19140625,-0.65380859375,1.3447265625,,,example_0007,natural,0.5,4096,0.9904614090919495,0.9859368801116943
position_sweep,2048,0.7001953125,AMBER-HARBOR-10017,The security answer is AMBER-HARBOR-10,The security answer is AMBER-HARBOR-10,False,False,False,-10.4921875,-0.95361328125,1.5986328125,0.042872207685238126,477398.44511449727,example_0000,natural,0.7,2048,,
position_sweep,2048,0.7001953125,COBALT-MEADOW-10018,COBALT-MEADOW-10018,COBALT-MEADOW-10018,False,True,True,-10.3671875,-0.86376953125,1.3798828125,0.05092625890997258,457385.847740777,example_0001,natural,0.7,2048,,
position_sweep,2048,0.7001953125,IVORY-LANTERN-10019,"The security answer provided in the given text is ""IVORY","The security answer provided in the given text is ""IVORY",False,False,False,-8.1640625,-0.74169921875,1.9599609375,0.06000199393058326,413768.3262804603,example_0002,natural,0.7,2048,,
position_sweep,2048,0.7001953125,SCARLET-BREEZE-10020,"The security answer provided in the given text is ""SCAR","The security answer provided in the given text is ""SCAR",False,False,False,-10.828125,-0.90283203125,1.119140625,,,example_0003,natural,0.7,2048,,
position_sweep,2048,0.7001953125,SABLE-HARBOR-10021,SABLE-HARBOR-10021,SABLE-HARBOR-10021,False,True,True,-14.140625,-1.28515625,1.13671875,,,example_0004,natural,0.7,2048,,
position_sweep,2048,0.7001953125,SILVER-MEADOW-10022,The security answer is SILVER-MEADOW-10,The security answer is SILVER-MEADOW-10,False,False,False,-15.71875,-1.3095703125,1.576171875,,,example_0005,natural,0.7,2048,,
position_sweep,2048,0.7001953125,GOLDEN-LANTERN-10023,"The security answer provided in the given text is ""GOLD","The security answer provided in the given text is ""GOLD",False,False,False,-15.2265625,-1.26953125,1.349609375,,,example_0006,natural,0.7,2048,,
position_sweep,2048,0.7001953125,TEAL-BREEZE-10024,"The security answer provided in the document is ""TEAL-B","The security answer provided in the document is ""TEAL-B",False,False,False,-8.96875,-0.81591796875,0.84912109375,,,example_0007,natural,0.7,2048,,
position_sweep,4096,0.699951171875,AMBER-HARBOR-10017,AMBER-HARBOR-10017,AMBER-HARBOR-10017,False,True,True,-9.6875,-0.88037109375,1.4462890625,0.04423285302030412,1819294.8290201358,example_0000,natural,0.7,4096,0.9908506274223328,0.9894742965698242
position_sweep,4096,0.699951171875,COBALT-MEADOW-10018,"The security answer provided in the given text is ""COB","The security answer provided in the given text is ""COB",False,False,False,-10.4765625,-0.873046875,1.263671875,0.03607092053965478,1314113.755046601,example_0001,natural,0.7,4096,0.9840906262397766,0.9803168177604675
position_sweep,4096,0.699951171875,IVORY-LANTERN-10019,IVORY-LANTERN-10019,IVORY-LANTERN-10019,False,True,True,-7.69921875,-0.7001953125,2.130859375,0.057951588377260735,1596941.26939562,example_0002,natural,0.7,4096,0.9888096451759338,0.9856118559837341
position_sweep,4096,0.699951171875,SCARLET-BREEZE-10020,"The security answer provided in the given text is ""SCAR","The security answer provided in the given text is ""SCAR",False,False,False,-10.71875,-0.89306640625,1.626953125,,,example_0003,natural,0.7,4096,0.9863095283508301,0.9828923344612122
position_sweep,4096,0.699951171875,SABLE-HARBOR-10021,SABLE-HARBOR-10021,SABLE-HARBOR-10021,False,True,True,-14.953125,-1.359375,0.83349609375,,,example_0004,natural,0.7,4096,0.986734926700592,0.9771425127983093
position_sweep,4096,0.699951171875,SILVER-MEADOW-10022,"The security answer provided in the given text is ""SIL","The security answer provided in the given text is ""SIL",False,False,False,-15.3046875,-1.275390625,1.580078125,,,example_0005,natural,0.7,4096,0.9891986846923828,0.9888942837715149
position_sweep,4096,0.699951171875,GOLDEN-LANTERN-10023,The security answer is GOLDEN-LANTERN-10,The security answer is GOLDEN-LANTERN-10,False,False,False,-13.78125,-1.1484375,2.064453125,,,example_0006,natural,0.7,4096,0.9826858043670654,0.9767773151397705
position_sweep,4096,0.699951171875,TEAL-BREEZE-10024,TEAL-BREEZE-10024,TEAL-BREEZE-10024,False,True,True,-7.53515625,-0.68505859375,1.3857421875,,,example_0007,natural,0.7,4096,0.9819526672363281,0.9696928858757019
position_sweep,2048,0.89990234375,AMBER-HARBOR-10017,AMBER-HARBOR-10017,AMBER-HARBOR-10017,False,True,True,-10.1796875,-0.92529296875,1.1708984375,0.05043491620529742,1343887.8392042816,example_0000,natural,0.9,2048,,
position_sweep,2048,0.89990234375,COBALT-MEADOW-10018,COBALT-MEADOW-10018,COBALT-MEADOW-10018,False,True,True,-10.5625,-0.8798828125,1.3544921875,0.04693519817550385,1046353.8368112479,example_0001,natural,0.9,2048,,
position_sweep,2048,0.89990234375,IVORY-LANTERN-10019,IVORY-LANTERN-10019,IVORY-LANTERN-10019,False,True,True,-7.6640625,-0.69677734375,1.7265625,0.07379970100564745,1414128.9331485946,example_0002,natural,0.9,2048,,
position_sweep,2048,0.89990234375,SCARLET-BREEZE-10020,SCARLET-BREEZE-10020,SCARLET-BREEZE-10020,False,True,True,-10.8984375,-0.908203125,1.685546875,,,example_0003,natural,0.9,2048,,
position_sweep,2048,0.89990234375,SABLE-HARBOR-10021,SABLE-HARBOR-10021,SABLE-HARBOR-10021,False,True,True,-14.484375,-1.31640625,1.0087890625,,,example_0004,natural,0.9,2048,,
position_sweep,2048,0.89990234375,SILVER-MEADOW-10022,SILVER-MEADOW-10022,SILVER-MEADOW-10022,False,True,True,-15.7109375,-1.30859375,1.513671875,,,example_0005,natural,0.9,2048,,
position_sweep,2048,0.89990234375,GOLDEN-LANTERN-10023,"The security answer provided in the given text is ""GOLD","The security answer provided in the given text is ""GOLD",False,False,False,-14.296875,-1.19140625,1.91796875,,,example_0006,natural,0.9,2048,,
position_sweep,2048,0.89990234375,TEAL-BREEZE-10024,TEAL-BREEZE-10024,TEAL-BREEZE-10024,False,True,True,-7.6953125,-0.69970703125,1.248046875,,,example_0007,natural,0.9,2048,,
position_sweep,4096,0.89990234375,AMBER-HARBOR-10017,"The security answer provided in the given text is ""AMBER","The security answer provided in the given text is ""AMBER",False,False,False,-10.640625,-0.96728515625,1.5849609375,0.04063973491329308,619440.7375687393,example_0000,natural,0.9,4096,0.9891402125358582,0.9856104850769043
position_sweep,4096,0.89990234375,COBALT-MEADOW-10018,"The security answer provided in the text is ""COBALT","The security answer provided in the text is ""COBALT",False,False,False,-10.890625,-0.9072265625,0.9697265625,0.029186921442790663,448023.1122655699,example_0001,natural,0.9,4096,0.9767397046089172,0.9566474556922913
